OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2021-10-02T01:27:57.408768,14.32581580,.0025645,74.0388,234.5571,329.6232,30.3431,0,U,22675,999,47854,.14382E-4,.13E-6,0
COSMOS 2251 DEB,1993-036E,2021-10-01T14:47:05.171712,14.32058506,.0016158,74.0355,240.9719,270.1890,207.7427,0,U,33757,999,66046,.17231E-4,.2E-6,0
COSMOS 2251 DEB,1993-036F,2021-10-01T21:05:15.243360,14.39215260,.0022702,74.0347,185.9950,266.0282,160.9832,0,U,33758,999,66181,.22977E-3,.688E-5,0
COSMOS 2251 DEB,1993-036G,2021-10-01T21:54:18.062784,14.51507788,.0020626,74.0185,81.0887,205.6833,276.3029,0,U,33759,999,66554,.49586E-3,.196E-4,0
COSMOS 2251 DEB,1993-036H,2021-10-01T21:23:52.701216,14.34332121,.0021539,74.0331,210.9529,320.9655,95.4091,0,U,33760,999,66139,.29495E-4,.57E-6,0
COSMOS 2251 DEB,1993-036J,2021-10-01T21:13:16.800672,14.36763984,.0025906,74.0395,199.7621,296.2115,137.2657,0,U,33761,999,66185,.1303E-3,.359E-5,0
COSMOS 2251 DEB,1993-036K,2021-10-01T20:51:49.756032,14.33010712,.0016363,74.0412,230.6487,307.9809,85.7912,0,U,33762,999,66086,.20284E-4,.29E-6,0
COSMOS 2251 DEB,1993-036L,2021-10-01T15:12:18.962784,14.63130236,.0011365,73.9340,338.3946,102.2126,49.1751,0,U,33763,999,66756,.86529E-3,.4424E-4,0
COSMOS 2251 DEB,1993-036M,2021-10-01T21:24:15.077952,14.35324808,.0025216,74.0359,211.3710,192.1517,224.3486,0,U,33764,999,66139,.91383E-4,.237E-5,0
COSMOS 2251 DEB,1993-036N,2021-10-02T02:32:16.689408,14.61043603,.0157517,74.0165,297.9808,57.2960,0.9958,0,U,33765,999,67013,.25265E-3,.1445E-4,0
COSMOS 2251 DEB,1993-036P,2021-10-01T17:27:16.287840,14.29090685,.0070225,74.1913,22.3740,298.2992,61.1085,0,U,33766,999,65811,.14332E-3,.348E-5,0
COSMOS 2251 DEB,1993-036R,2021-10-01T21:49:09.048000,13.56213641,.0373971,74.0719,168.4258,306.0735,136.5801,0,U,33768,999,62500,-.50465E-5,-.29E-6,0
