OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2021-10-02T03:53:05.269056,15.48894278,.0003812,51.6457,173.7885,50.4043,103.6045,0,U,25544,999,30517,.79362E-4,.3909E-4,0
AEROCUBE 12A,2018-046C,2021-10-01T20:27:26.319744,15.32544421,.000731,51.6407,356.4326,182.8996,177.1945,0,U,43556,999,17959,.24907E-3,.7586E-4,0
AEROCUBE 12B,2018-046D,2021-10-01T20:40:40.107648,15.31852388,.0007508,51.6411,358.7000,181.2634,178.8329,0,U,43557,999,17951,.22555E-3,.6681E-4,0
LEMUR-2-VU,2018-046E,2021-10-01T10:56:21.116544,15.35151499,.0006178,51.6418,348.7771,190.2233,169.8625,0,U,43558,999,17965,.39827E-3,.13446E-3,0
LEMUR-2-ALEXANDER,2018-046F,2021-10-01T16:24:50.729472,15.35426286,.0006238,51.6410,346.5746,190.9073,169.1775,0,U,43559,999,17948,.44144E-3,.15083E-3,0
LEMUR-2-YUASA,2018-046G,2021-10-01T11:48:56.863584,15.35112331,.0006445,51.6415,349.0185,204.7029,155.3646,0,U,43560,999,17965,.45133E-3,.15274E-3,0
LEMUR-2-TOMHENDERSON,2018-046H,2021-10-01T11:13:40.575936,15.34687599,.0006611,51.6425,350.3309,198.2753,161.7993,0,U,43561,999,17919,.36219E-3,.12009E-3,0
ISS DEB (SEDA-AP),1998-067PU,2021-10-01T20:28:03.822528,15.64425593,.0002937,51.6341,113.3360,19.2760,340.8345,0,U,43870,999,15827,.1715E-3,.16281E-3,0
UNITE,1998-067PX,2021-10-01T21:12:57.898944,15.99267013,.0005846,51.6333,68.9847,304.6422,55.4036,0,U,44031,999,15256,.69682E-3,.349373E-2,.62187E-4
ISS DEB,1998-067QA,2021-10-01T21:38:33.079200,15.61769949,.0003839,51.6376,137.1614,279.0647,80.9912,0,U,44303,999,13323,.26225E-3,.22682E-3,0
ISS DEB,1998-067QD,2021-10-01T20:51:41.326848,15.62743053,.0004855,51.6359,136.0704,277.8071,82.2372,0,U,44306,999,13325,.27328E-3,.24595E-3,0
