OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NOAA 15,1998-030A,2021-10-02T02:02:42.009216,14.26060804,.0009804,98.6753,302.6195,335.9957,24.0765,0,U,25338,999,21644,.48815E-4,.73E-6,0
DMSP 5D-3 F15 (USA 147),1999-067A,2021-10-01T21:02:43.802304,14.16471321,.0009727,99.0283,257.3862,197.0606,220.0600,0,U,25991,999,12716,.48365E-4,.5E-6,0
METEOSAT-8 (MSG-1),2002-040B,2021-10-01T14:48:41.742720,1.00268922,.0001406,7.5604,51.9417,180.0322,42.2252,0,U,27509,999,7001,0,.139E-5,0
DMSP 5D-3 F16 (USA 172),2003-048A,2021-10-02T02:49:32.159712,14.13637444,.000706,98.9646,259.9419,336.0036,102.0449,0,U,28054,999,92653,.35481E-4,.22E-6,0
NOAA 18,2005-018A,2021-10-02T01:03:35.251200,14.12642709,.0013818,98.9840,340.2812,345.3763,14.7007,0,U,28654,999,84358,.89086E-4,.12E-5,0
METEOSAT-9 (MSG-2),2005-049B,2021-10-01T17:11:51.969408,1.00273816,.0000624,5.4384,67.8281,39.1034,165.0226,0,U,28912,999,5779,0,.18E-6,0
FORMOSAT-3 FM6,2006-011A,2021-10-01T20:57:39.950784,14.28840377,.0051645,71.9779,227.7134,326.7400,33.0494,0,U,29047,999,80862,.7877E-4,.16E-5,0
FORMOSAT-3 FM1,2006-011B,2021-10-01T21:41:18.365856,14.28805476,.004543,71.9653,138.0178,287.1781,72.4384,0,U,29048,999,81110,.64361E-4,.122E-5,0
FORMOSAT-3 FM5,2006-011C,2021-10-02T02:08:19.453920,14.28887870,.0036777,72.0201,311.9711,307.8172,51.9637,0,U,29049,999,80694,.7081E-4,.139E-5,0
FORMOSAT-3 FM3,2006-011D,2021-10-01T18:53:40.480512,14.59124803,.0049991,72.0167,50.4310,190.2227,169.7914,0,U,29050,999,82505,.10233E-3,.441E-5,0
